id;wa_phone_number;current_state;session_data;last_active_at
1;outside;by controvert;../fake-data/blob/hipster.txt;2025-12-28T04:49:38
2;whoever indeed grade;avalanche crushing;../fake-data/blob/hipster.txt;2025-12-27T10:45:10
3;probe unaccountably pro;especially;../fake-data/blob/hipster.txt;2025-12-27T13:20:31
4;creak;yuck;../fake-data/blob/hipster.txt;2025-12-27T13:35:04
5;kindly phew;ownership;../fake-data/blob/hipster.txt;2025-12-27T12:44:52
6;knavishly and phooey;secularize dearly questionable;../fake-data/blob/hipster.txt;2025-12-27T22:39:15
7;shocked;incidentally toward shovel;../fake-data/blob/hipster.txt;2025-12-27T23:06:25
8;unto throughout;brr for;../fake-data/blob/hipster.txt;2025-12-27T11:16:24
9;term;hmph daily underneath;../fake-data/blob/hipster.txt;2025-12-27T08:51:45
10;utterly;besides ack fervently;../fake-data/blob/hipster.txt;2025-12-27T09:40:41
