id;wa_message_id;button_id;clicked_at;clicked_by
1;savour someplace and;whisper;2025-12-27T15:15:12;veto meander whack
2;hence;french whether instead;2025-12-27T12:06:55;developing fumigate
3;patiently alive;brr;2025-12-28T02:24:38;but
4;huzzah blah remarkable;urgently reach drat;2025-12-27T20:39:39;excitedly kindheartedly exaggerate
5;boohoo shudder rise;psst;2025-12-27T09:36:40;fog painfully sanity
6;since huzzah;quirkily come;2025-12-27T15:36:30;um second-hand always
7;above bitterly;privilege adjourn;2025-12-28T06:28:11;cheese
8;lest ah;typeface overheard delectable;2025-12-28T04:21:26;solidly fly
9;whose;but within;2025-12-28T01:51:33;difficult sprinkles yippee
10;ew crazy ferociously;tightly finally;2025-12-27T16:08:54;um
