id;order_time;total_amount;status;payment_method;confirmed_at;removed_customer_id;removed_delivery_person_id;transaction_id
1;2025-12-27T19:45:54;27972.96;ORDER_DELIVERED_SUCESSFULLY;truthfully;2025-12-27T23:56:38;15214;7294;dislocate shakily
2;2025-12-27T21:37:31;19201.48;ORDER_FAILED;psst allocation extricate;2025-12-27T19:26:57;9480;6293;parody
3;2025-12-27T21:05:46;18995.66;ORDER_FAILED;unless quirkily;2025-12-28T02:52:21;25670;11599;zowie
4;2025-12-27T09:26:52;16225.6;ORDER_NOT_TAKEN;rarely;2025-12-27T17:46:47;11283;15939;until ouch ironclad
5;2025-12-28T07:27:22;18434.84;DELIVERY_ONWAY;satirize;2025-12-27T18:02:20;25013;9048;narrow woot
6;2025-12-27T15:45:46;6927.45;ORDER_NOT_TAKEN;fantastic;2025-12-27T19:26:05;6704;17808;saloon amid
7;2025-12-28T07:04:06;12245.08;ORDER_NOT_TAKEN;save anti yuck;2025-12-27T23:03:55;13023;12137;like softly
8;2025-12-27T14:25:34;4022.55;ORDER_DELIVERED_SUCESSFULLY;pack gah phew;2025-12-27T20:42:11;3452;30636;though qua
9;2025-12-27T22:46:43;32030.28;DELIVERY_ONWAY;toward ouch;2025-12-27T16:43:18;26074;25687;scout
10;2025-12-27T23:56:16;13690.04;DELIVERY_ONWAY;nervously knavishly;2025-12-27T18:34:24;21937;3275;graft sans
