id;user_original_id;user_name;user_role;total_orders;total_amount;first_interaction_at;last_interaction_at;removed_at
1;1570;er;ASSISTANT_ADMIN;18896;8672.75;2025-12-27T18:58:19;2025-12-27T14:07:15;2025-12-28T02:44:11
2;27598;key daily pigpen;DELIVERY_PERSON;23227;24049.49;2025-12-27T23:42:29;2025-12-27T12:39:32;2025-12-27T14:10:29
3;18322;snarling zebra ouch;ASSISTANT_ADMIN;12842;7739.36;2025-12-27T18:09:42;2025-12-28T07:51:35;2025-12-27T14:05:12
4;24030;soap gracefully aw;CUSTOMER;11463;30948.41;2025-12-27T14:05:39;2025-12-27T11:31:13;2025-12-27T14:43:15
5;19055;unexpectedly;ADMIN;29528;2961.38;2025-12-28T05:53:45;2025-12-28T05:06:37;2025-12-28T02:36:39
6;1189;encouragement;ASSISTANT_ADMIN;32281;30967.69;2025-12-27T11:53:51;2025-12-28T03:42:59;2025-12-28T02:44:22
7;25664;even instead;ADMIN;8117;15006.61;2025-12-27T16:13:30;2025-12-28T03:16:21;2025-12-27T13:45:03
8;13196;incidentally;ADMIN;28514;5110.03;2025-12-27T11:43:26;2025-12-27T13:49:06;2025-12-28T01:05:47
9;10522;unlike;ASSISTANT_ADMIN;6326;3613.23;2025-12-27T09:49:52;2025-12-28T03:35:43;2025-12-28T05:02:00
10;24152;aw disapprove;DEVELOPER;25383;11079.66;2025-12-27T10:56:28;2025-12-28T05:11:46;2025-12-27T16:44:30
